# English method dictionary: word<TAB>Traditional Chinese candidate
# Generated from MCK-compatible English keys; project choices may override ambiguous mappings.
aardvark	土豬
constant	不變
constantly	不住
constellation	一系列
constipate	便秘
constipated	大便乾燥
constipation	大便祕結
constituent	有選舉權
constitute	設立
constitution	章程
constrained	迫於
constraint	拘禁
construct	建設
construction	工作
constructive	建設
constructiveness	建設性
consul	參閱
consulate	使館
consult	看病
consultant	顧問
consultation	參考
consultations	磋商
consultative	咨詢
consume	消費
consumer	消費者
consummate	精湛
consumption	結核
contact	交往
contactor	接觸器
contacts	往來
contagious	傳染
contain	容納
container	容器
contaminate	污損
contamination	染毒
contemplate	沉思
contemplation	沉思
contemporaries	輩
contemporary	同時期
contempt	輕視
contemptible	卑鄙
contemptuous	輕視
contend	論戰
content	要旨
contented	懨
contention	爭論
contents	目錄
contest	比賽
contestant	選手
context	上下文
continent	大陸
continental	大陸
continents	大洲
contingency	不測
continue	接著
continuing	一個勁兒
continuous	不斷
continuously	不住
contortion	柔術
contraband	走私品
contrabass	低音提琴
contraception	避孕
contract	合同
contracted	蹙
contractor	包工
contradict	反嘴
contradiction	矛盾
contradictory	矛盾
contrariwise	倒是
contrary	對立
contrast	對比
contravene	違反
contribute	投稿
contribution	功績
contributor	捐贈者
contrive	創製
control	對照
controller	主管
controlling	強攻
controversial	有爭議
controversy	論爭
contusion	瘀青
conundrum	謎語
convalesce	康復
convection	對流
convene	召集
convenience	方便
convenient	方便
conveniently	隨手
convent	女修道
convention	大會
conventional	常規
converge	匯合
convergence	趨近
conversant	諳練
conversation	會話
converse	交談
conversely	轉而
conversion	換算
convert	教民
converter	轉換器
convex	凸起
convey	表達
convict	定罪
conviction	信念
convince	說服
convinced	心摺
convincing	使人信服
convoke	召開
convoluted	煩瑣
convoy	護衛
convulse	掀
convulsion	抽風
convulsions	癲
cook	做飯
cookbook	食譜
cooked	腍
cookery	烹調術
cookie	餅乾
cooking	烹調
cookingstove	爨
cool	很棒
coolant	冷卻劑
coolheaded	冷靜
cooling	冷卻
coolroom	冷房
coop	公仔佬
cooperate	合作
cooperation	合作
cooperative	合營
coordinate	合作
coordination	配合
coordinator	協調人
coot	白骨頂
cope	對付
copious	沛
coppersmith	銅匠
coppice	矮林
copulate	交合
copulation	交配
copy	一份
copycat	附和
copyright	作者權
coral	珊瑚
cord	電線
cordial	熱情
cordiality	心肝
cordless	無線
core	中心
corenting	合租
coriander	香菜
corinth	哥林多
corinthians	格林多
cork	科克
cormorant	魚鷹
corn	小麥
corncob	棒子
cornea	眼角膜
cornelian	紅瑪瑙
corner	地區
cornerstone	基石
cornflour	玉米粉
cornucopia	聚寶盆
corny	肉麻
corolla	花冠
corona	日冕
coronary	冠脈
coronation	加冕
corporate	法人
corporation	有限公司
corps	軍團
corpse	殘骸
correct	不錯
correction	更正
correlation	有關聯
correspond	一致
correspondence	中轉
correspondent	通訊員
corresponding	對應
corridor	過道
corroborate	確證
corroboration	佐證
corrode	侵蝕
corrosion	腐蝕
corrugation	波紋
corrupt	敗壞
corruption	貪腐
corset	馬甲
cortex	皮質
cortical	皮層性
corvette	護衛艦
corvina	黃花魚
cosmology	宇宙生成論
cosmos	宇宙
cost	成本
costeffective	經濟有效
costly	代價高
costume	裝束
cottage	小屋
cotton	木棉
couch	睡椅
cough	咳嗽
could	可以
coumarin	薰
council	會議
councilchamber	閣
counsels	讜
count	認為
countdown	倒計時
countenance	容貌
counter	對立
counteract	中和
counterattack	回擊
counterclaim	反訴
counterclockwise	逆時針
counterfeit	作假
counterforce	打擊軍事力量
counterintelligence	反間諜
counterpart	對方
counterproposal	對案
counterreaction	逆反應
counterrevolutionary	反革命
countersign	暗號
countervalue	打擊社會財富
counterworks	對壘
countless	不可勝數
country	國家
countryside	野外
county	郡
countylevel	縣級
couple	一對
coupon	優惠券
courage	英勇
courageous	有膽量
courier	速遞
course	一道菜
court	法院
courteous	有禮貌
courtesan	角妓
courtesy	禮貌
courtier	臣
courting	對親
courtmartial	軍事法庭
courtship	求愛
courtyard	中庭
cousin	表弟
cousins	叔伯
cousinship	表親
cove	澳
covenant	聖約
cover	被臥
coverage	覆蓋面
covered	掩藏
covering	衣子
coverlet	衾
covert	地下
covertly	偷偷
covet	眼紅
covetous	亄
cow	正啊喂
coward	膽小
cowardice	膽小
cowardly	鼠膽
cowberry	越橘
cowboy	牛仔
cower	退縮
coworker	同事
cowpea	豇荳
cowpeas	豇
cowpox	牛痘
cowrie	瑪瑙貝
cowries	貝
cowry	寶貝
coxsackievirus	克沙奇病毒
coxswain	船老大
coy	怕羞
cozy	舒適
cpe	用戶端設備
cpu	錢包
crab	螃蟹
crabapple	柰
crabby	倔
crack	空隙
cracked	皴
cracker	蘇打餅乾
cracking	嚦
cradle	發源地
craft	手藝
craftsman	匠
crafty	鬼計多端
craggy	稜角
cram	死記
cramp	扒釘
cramped	逼仄
cramps	拘攣
cranberry	小紅莓
crane	起重機
cranium	頭蓋
crankshaft	曲軸
crap	垃圾
crapemyrtle	紫薇
crappy	糟糕
crash	當機
crass	魯
crate	板條箱
crater	環形山
crave	切望
craving	心願
crawl	爬行
crayfish	小龍蝦
crayon	粉筆
craze	狂熱
crazy	發狂
creak	嘎吱
cream	精華
creamy	像奶油
crease	起縐
creases	襞
create	設計
creation	建立
creationism	創造說
creative	有創意
creativeness	才思
creativity	原創
creator	創辦者
creature	生物
credentials	證書
credit	學分
creditable	體面
creditor	債主
creed	信條
creek	川
creel	罶
creep	毛骨悚然
creeper	蔓生植物
creepy	不寒而慄
crepe	縐
crescent	新月
crest	冠子
crete	克里特
crevasse	冰隙
crevice	裂縫
crew	人員
cri	鎗戰
crib	附和
cricket	蟋蟀
crime	不法行為
crimea	克裡米亞
criminal	罪犯
criminology	犯罪學
crimson	艷紅色
cringe	卑躬屈節
cringing	蜷縮
cripple	身體障害
crippled	廢
crisis	風波
crisp	清脆
crispy	脆脆
crisscross	交錯
crisscrossed	縱橫
criterion	王法
critic	評論家
critical	關鍵
criticality	臨界狀態
criticism	指正
criticize	非議
croatia	克羅地亞
crocodile	鱷魚
crooked	偏斜
croon	哼唱
crop	一群
cropland	田地
croquet	門球
cross	交叉
crossball	彈
crossbeam	檁
crossbill	鶡
crossbow	弓弩
crossexamine	盤問
crosseyed	斗眼
crossing	路口
crosslanguage	跨語言
crosspiece	檔
crossplatform	跨平台
crossroads	十字路口
crossshaped	十字
crosstolerance	交叉耐藥性
crosswise	橫向
crossword	縱橫字謎
crotch	襠
crouch	蹲踞
crow	烏鴉
crowblack	烏黑色
crowd	一幫
crowded	人多
crown	加冠
crucial	要害
crucible	坩堝
crucifix	十字
cruciform	十字形
crucify	釘死
crude	簡略
cruel	冷酷
cruelty	殘暴行為
cruise	航行
crumble	解體
crumbs	屑
crumple	弄皺
crunchy	脆
crusaders	十字軍
crush	迷戀
crushed	潰敗
crust	甲殼
crustacean	甲殼動物
crutch	拐杖
crutches	拐杖
crux	基點
cry	號啕
crying	眼淚
cryolite	冰晶石
cryophorus	冰凝器
cryptic	晦澀
cryptography	密碼學
cryptozygous	隱顴
crystal	水玉
crystalline	結晶狀
crystallize	結晶
crystallography	結晶學
cti	塞席爾
cub	古巴
cuba	古巴
cube	立方
cubic	立方體
cubicle	小房間
cuboid	長方體
cuckold	王八
cuckoo	子規
cucumber	黃瓜
cuddle	偎
cudgel	棒子
cuff	袖口
cuisine	飯
culprits	主犯
cultivable	可耕地
cultivate	種植
cultivated	有教養
cultivation	養殖
cultural	人文
culture	文明
cultured	斯文
culvert	涵洞
cumbersome	笨重
cumin	枯茗
cummerbund	束帶
cumulus	積雲
cunnilingus	舔陰
cunning	靈巧
cup	獎杯
cupboard	衣櫃
curb	路邊
curd	凝結
curdle	變苦
cure	對策
cured	腌漬
curio	古玩
curios	玩
curiosity	好奇心
curious	不尋常
curl	捲起
curled	蜷曲
curly	捲曲
currency	通貨
current	這次
currently	目前
curriculum	全部課程
curry	咖哩
curse	禍根
cursive	草書
cursor	指針
cursory	粗略
curtail	縮短
curtain	窗簾
curvature	曲率
curve	曲線
curved	彎曲
cushion	軟墊
cusp	尖頂
custodian	保管員
custom	光顧
customary	習慣性
customer	主顧
customized	專門
customs	關稅
cut	張屋地
cute	可愛
cuticle	表皮
cutin	角質
cutlet	吉列
cutprice	平價
cutter	切刀
cutting	刻薄
cuttlefish	烏賊
cy	七月
cyan	請人
cyanide	氰化
cyanobacteria	藍細菌
cyanogen	氰
cyber	網際
cybernetics	控制論
cyberporn	網際色情
cyberport	數碼港
cyberspace	電子空間
cyclamen	仙客來
cycle	單車
cyclicity	週期性
cycling	騎自行車
cycloalkane	環烷烴
cycloid	擺線
cyclone	龍捲風
cyclotron	回旋
cycocel	矮壯素
cylinder	圓柱
cylindrical	圓柱形
cymbals	鈸
cymbidium	蘭花
cynical	譏誚
cynicism	犬儒主義
cypress	絲柏
cyprus	塞浦路斯
cyrillic	西裡爾
cystitis	膀胱炎
cytochrome	細胞色素
cytokine	細胞因子
cytology	細胞學
cytoplasm	細胞質
cytotoxicity	細胞毒性
cytotoxin	細胞毒
czech	捷克
czechrepublic	丹麥
czj	請自重
dabbler	半瓶醋
dace	雅羅魚
dachshund	短腿獵犬
dacron	的確良
dad	機關槍
daddy	老子
daegu	大邱
daffodil	水仙
dagger	短劍
dahlia	大麗花
daily	經常
dainty	高雅
dairy	牛奶
daisy	雛菊
dally	調戲
dam	大壩
damage	破壞
damaged	受害
damaging	有害
damask	綾
dame	貴婦人
damn	咒罵
damp	受潮
dampen	挫
damping	阻尼
damselfly	蜻蛉
dan	校門
dana	相間
dance	舞會
dancer	舞蹈家
dandelion	蒲公英
dandruff	頭皮屑
danger	威脅
dangerous	不安全
dangle	吊著
dangling	吊掛
danube	多瑙河
daoist	道德家
daoji	濟公
dare	竟敢
darfur	達爾富爾
daring	大膽
dark	深色
darken	變黑
darkly	黑暗
darkness	黑暗
darkroom	暗室
darling	心肝
dart	投射
darts	鑣
dary	想問吓
dash	打擊
dastard	孬
data	資料
database	資料庫
date	到現在
dates	紅棗
datong	大同市
daub	刷
daughter	女兒
daughterinlaw	兒媳
dauntless	奮勇
dawdle	磨蹭
dawdling	拖磨
dawn	開端
day	日子
daybreak	破曉
daydream	發呆
daylight	天亮
daytime	日間
daze	暈眩
dazed	迷糊
dazhai	大寨
dazzle	耀眼
dazzled	眩
dazzling	光彩奪目
ddt	的嗒糖
de	台灣
deabsorb	解吸
deacon	執事
dead	過時
deadline	最後期限
deadlock	僵局
deadly	死亡
deadpan	一本正經
deaf	聾子
deafen	使耳聾
deafening	震耳欲聾
deal	交易
dealer	交易者
dealings	往來
dean	院長
dear	親愛的
dearest	最親愛的
dearly	非常
death	死亡
deb	東涌
debased	庸俗
debasement	庸俗化
debate	論戰
debris	瓦礫
debt	人情債
debtor	債務人
debunching	散束
debunk	駁斥
debutante	名媛
deca	癸
decade	十年
decadent	腐朽
decagon	十邊形
decagram	十克
decaliter	公斗
decameter	公丈
decant	淘選
decapitate	砍頭
decathlon	十項全能
decay	腐化
decayed	腐朽
deceased	已故
deceit	騙術
deceitful	機詐
deceive	行騙
decelerate	減低速度
december	十二月
decent	不錯
decentralize	下放
deceptive	疑似
decibel	分貝
decide	作出抉擇
deciduous	落葉
decigram	公釐
decimal	十進制
decimeter	分米
decipher	解碼
decision	果斷
decisionmaking	決策
decisive	果斷
deck	一副
declaim	朗誦
declaration	陳訴
declare	表示
declassify	解密
decline	下降
declining	颯
declivity	陀
decode	解讀
decolorant	脫色劑
decommission	退出運行
decompose	分解
decomposition	分解作用
decompress	解壓縮
decontaminant	洗消劑
decontamination	除沾染
decorate	點綴
decoration	裝修
decorations	配飾
decorative	裝飾
decorum	事體
decoy	囮
decrease	下降
decree	法令
decrepit	龍鍾
decypher	解讀
dedicate	題獻
dedicated	專用
dedication	題詞
deduce	推演
deduct	扣除
deed	事跡
deeds	番
deem	視為
deep	深入
deepen	加深
deepfreeze	冷凍
deepgoing	深刻
deeply	在深處
deepwater	深水
deer	東涌河
defame	醜化
defeat	大敗
defeated	敝
defecate	大便
defect	過失
defection	投誠
defective	不完美
defence	國防
defend	保護
defendant	被告
defender	防守者
defense	保衛
defensive	防衛
defer	延緩
deferent	恭順
deferential	恭敬
deficiency	不足
deficient	虧負
deficit	虧損
defile	弄髒
define	下定義
definite	不變
definitely	當然
definition	定義
deflated	癟
deflation	通貨收縮
deflower	姦污
defoliant	落葉劑
deform	走樣
deformation	變分
deformed	哩溜歪斜
deformity	殘廢
defraud	作假
defy	抗拒
degenerate	變壞
degeneration	積弱
degradation	免職
degrade	降級
degree	學位
dehydration	脫水
deify	奉若神明
deities	神明
dejected	廢然
delaware	特拉華
delay	延長
delayed	遲
delaying	迂磨
delegate	下放
delegation	一行
delete	去掉
delhi	德里
deliberate	成心
deliberately	專意
deliberation	熟思
deliberations	斟酌
delicacies	饌
delicacy	美食
delicate	精美
delicious	好吃
delight	樂趣
delighted	愉悅
delightful	好玩兒
delimit	劃定
delineate	劃線
deliquescense	潮解
deliquescent	潮解性
deliver	交給
deliverance	救出
delivery	分娩
dell	戴爾
delta	三角洲
deluge	倒海翻江
delusion	幻想
demagogy	嘩眾取寵
demand	要求
demarcate	標定
demeanor	風範
demented	顛狂
dementia	痴呆症
demise	駕崩
demobilize	退役
democracy	民主
democrat	民主黨人
democratic	大眾
democrats	民主主義者
demodulate	解調
demography	人口學
demolish	拆除
demon	神靈
demonic	邪
demonstrate	說明
demonstration	說明
demonstrator	示威者
demoralized	洩氣
demote	貶斥
demotion	削職
den	台灣
denaturation	變性
denmark	丹麥
denomination	派別
denote	記作
denounce	公開指責
dense	密集
density	密度
dent	凹下
dental	牙科
dented	凹進
dentist	牙科醫生
denuclearization	非核化
denuclearize	無核化
denude	剝蝕
deny	打賴
deoxidation	脫氧
deoxyribose	脫氧核糖
depart	出發
department	科系
departure	出發
depend	信賴
dependable	把穩
dependence	相關
dependency	屬地
dependent	依靠
dependents	屬
depict	描寫
depiction	圖形
deplane	下飛機
depleted	用光
deploy	部署
deport	驅逐出境
depose	免職
deposit	存放
depository	藏
deposits	貯藏
depot	廠子
depravity	亂倫
deprecate	姍
depreciate	輕視
depreciation	折舊
depress	心灰意冷
depressed	消沉
depression	不景氣
deprivation	困苦
deprive	剝奪
depth	深度
depths	深處
depute	侂
deputy	幫辦
derail	脫軌
deranged	顛倒
derision	愚弄
derivation	發源
derivative	次生
derive	來自
dermatitis	皮炎
dermatosis	皮膚病
descend	降落
descendant	子孫
descendants	裔
describe	說明
description	說明
desert	不毛之地
deserted	空空盪盪
desertification	沙漠化
deserve	應得
deservedly	活該
deserving	值得敬佩
deshengmen	德勝門
desiccation	脫水
design	計劃
designate	指定
designated	指定
designer	設計者
desirable	可取
desire	要求
desirous	企求
desist	懫
desk	工作枱
deskmate	同桌
desktop	桌上型
desolate	人煙稀少
despair	失望
despairing	洩氣
despatch	寄發
desperado	不逞之徒
desperate	不惜冒險
desperation	絕望
despicable	卑劣
despise	不齒
despite	任憑
despoil	糟踏
despondent	失神
despot	暴君
despotism	專制主義
dessert	點心
dessication	乾燥
destination	終點
destine	指定
destined	命中注定
destiny	天時
destitute	缺衣少食
destroy	打垮
destroyed	完蛋
destruction	破壞
destructive	有害
detail	全部細節
detailed	精心
details	內容
detain	扣留
detained	受阻
detect	發現
detection	偵察
detective	暗探
detector	檢測器
detention	留堂
detergent	去垢劑
deteriorate	變質
determinacy	確定性
determinant	行列式
determination	果斷
determine	下決心
determined	有決心
determinism	決定論
deterrence	威懾
detest	厭恨
detonate	發火
detonator	信管
detoxify	解毒
detriment	弊
detrimental	不利
detumescence	消腫
deuterium	重氫
deuteron	氘核
deuteronomy	申命記
devaluate	貶值
devalued	掉價
devastate	破壞
devastated	頹靡
devastating	利害
devastation	慘狀
develop	出現
developer	發展商
developing	發展中
development	生長
deviate	越軌
deviation	越軌
device	電器
devil	調皮鬼
devils	鬼子
devious	歪點子
devise	籌
devote	專心
devoted	忠誠
devotion	熱誠
devour	吞吃
devout	敬虔
dew	機油
dewey	杜威
dewy	帶露
dexamethasone	地塞米松
dexterous	靈活
dextrin	糊精
deyang	德陽市
dhl	大興南
diabetes	糖尿病
diachronic	貫時
diagnose	診斷
diagnosis	診斷
diagonal	對角線
diagram	線圖
dial	打電話
dialect	方言
dialectical	辯證
dialectics	辯證法
dialog	對話
diameter	中徑
diametrical	對立
diamond	方塊
diaper	尿布
diaphragm	光圈
diaphysis	骨幹
diarrhea	拉肚子
diary	工作日程
diatom	矽藻
diazepam	地西泮
dice	玩命
dicerorhinini	雙角犀
dichloramine	二氯胺
dichlorodiphenyltrichloroethane	滴滴涕
dichloromethane	二氯甲烷
dichlorvos	敵敵畏
dictate	聽寫
dictation	聽寫
dictator	獨裁者
dictatorship	獨裁
diction	用字
dictionary	字典
did	來福槍
die	不諱
diencephalon	間腦
diet	國會
dietitian	營養學者
differ	不一
difference	不同
different	不一樣
differentiate	分辨
differentiation	分化
difficult	不易
difficulty	難點
diffraction	衍射
diffuse	瀰漫
diffusion	擴散
dig	多爾袞
digest	文摘
digestion	消化
digestive	消化
digg	聽我講幾句
digit	數字
digital	數位
digitalization	數碼化
dignified	道貌岸然
dignify	使高貴
dignity	人格
digress	走題
digression	散話
dike	水壩
dilapidated	殘破
dilate	使膨脹
dilation	擴張
dilatory	拖拉
dilemma	進退兩難
diligence	勤勉
diligent	用功
diligently	用心
dilute	沖淡
diluted	淡
dilution	攤薄
dim	台式
dime	一角銀幣
dimension	大小
dimensionality	維數
dimercaprol	二硫基丙醇
diminish	降低
diminutive	愛稱
dimple	酒窩
dimsum	點心
dimwitted	傻乎乎
din	鼓噪
dine	就餐
diner	餐車
dinergate	兵蟻
dininghall	餐廳
dinner	晚餐
dinosaur	恐龍
dinosaurs	恐龍類
diocese	主管教區
diode	二極管
diopter	屈光度
dioscoreaceae	蕷
dioxide	二氧化物
dioxin	二惡英
dip	下降
diphenylchloroarsine	二苯氯胂
diphosgene	雙光氣
diphtheria	白喉
diphthong	復音形
diplococcus	雙球菌
diploma	文憑
diplomacy	外交
diplomat	外交官
diplomatic	外交
dipper	瓢
diquat	殺草快
direct	對準
direction	用法說明
directions	說明
directly	一頭
director	理事
directory	名錄
dirge	悲歌
dirt	爛泥
dirtbasket	虆
dirty	下流
disability	身心障礙
disabled	殘疾
disadvantage	不利
disadvantaged	劣勢
disadvantageous	不利
disagree	不一致
disagreeable	不愉快
disappear	不見
disappoint	使失望
disappointed	失意
disappointing	差勁
disappointment	失望
disapproval	不贊成
disapprove	不贊成
disarm	廢除軍備
disarmament	裁軍
disassemble	拆開
disassociate	遊離
disaster	不幸
disasterstricken	受災
disastrous	不得了
disavow	打賴
disband	解散
disbandment	遣散
disc	權能區分
discard	棄置
discern	明辨
discernment	識力
discharge	發射
disciple	教徒
disciplinary	訓誡
discipline	教養
disclaim	打賴
disclaimer	免責聲明
disclose	聲張
disco	歌廳
discolor	變色
discomfited	受癟
disconnect	掐斷
disconnected	間斷
discontent	滿腹牢騷
discontented	不滿
discontinue	中斷
discontinuous	斷斷續續
discord	不和
discotheque	迪斯科吧
discount	打折扣
discourage	不鼓勵
discouraged	心灰意冷
discouraging	不鼓勵
discourse	話語
discourteous	失儀
discover	發現
discovered	所發現
discovery	發現
discrepancy	出入
discrepant	不符合
discrete	離散
discreteness	離散性
discriminate	區別
discrimination	區別
discuss	說道
discussion	研討
discussions	會談
disdain	輕蔑
disease	病症
diseased	癠
disembark	上岸
disenroll	除名
disequilibrium	不平衡
disfigure	變醜
disgorge	流出
disgrace	恥辱
disgraced	受辱
disgraceful	不名譽
disgust	使厭煩
disgusting	可憎
dish	一道菜
dishes	器物
disheveled	蓬
dishevelled	亂蓬蓬
dishonest	不誠實
dishonor	羞辱
dishonorable	不端
dishwasher	洗碗機
disinclined	懶得
disinfect	殺菌
disinfectant	殺菌
disintegrate	解體
disinterested	無私
disjointed	斷斷續續
disk	當我死架
dislike	不喜愛
dislodge	去除
disloyalty	二心
dismal	暗淡
dismantle	拆下
dismay	驚恐
dismiss	不考慮
disneyland	迪斯尼
disobedient	忤
disobey	不聽命
disorder	不適
disordered	恛
disorderly	顛三倒四
disparage	貶
disparity	差別
dispatch	發出
dispatcher	調度
dispel	祛除
dispersal	散逸
disperse	發散
disperser	布灑器
dispirited	委靡
displace	換置
displaced	流離失所
display	出示
displease	不悅
dispose	部署
disposition	意向
dispossessed	失地
disproof	反證
dispute	分爭
disputes	風波
disregard	不問
disrepair	失修
disreputable	不名譽
disrespect	謾
disrespectful	不恭
dissatisfied	不滿
dissection	剖析
dissemble	矯
disseminate	傳布
dissent	意見不合
dissenter	異議者
dissertation	學位論文
dissident	異見
dissidents	異議份子
dissimilar	不相同
dissimulate	口不應心
dissipate	消散
dissipated	任誕
dissociation	解離
dissolute	風流
dissolve	解散
dissolved	糜
dissuade	勸阻
distance	路程
distant	遠處
distend	漲
distill	提煉
distillery	酒廠
distinct	不同
distinction	對比
distinctive	不一樣
distinctly	逼真
distinguish	看清
distinguished	卓越
distort	曲解
distract	分心
distracted	恍惚
distraction	分心
distress	受難
distressed	苦惱
distressing	凄然
distribute	發布
distributed	分散式
distribution	經銷
distributivity	分配律
distributor	配送者
district	一帶
distrust	不信用
disturb	打擾
disturbance	事端
disturbed	不安
ditch	溝
ditto	同上
diuresis	利尿
diuretic	利尿劑
dive	潛水
diverge	分支
divergent	歧
diverse	多種
diversification	多樣化
diversify	多樣化
diversion	他用
diversity	多樣
divert	使轉向
divide	意見分歧
dividend	被除數
divination	卜筮
divine	神聖
diving	潛泳
divinity	神性
division	不和
divisor	因數
divorce	分離
divulge	走漏
dizziness	眩暈
dizzy	頭昏
dizzying	目眩
djibouti	吉布提
dlci	數據鏈路連接識別碼
dm	丹麥
dna	台階
do	大愛
doable	使得
docile	溫順
dock	對接
docker	裝卸工
doctor	大夫
doctrine	學說
document	文書
documentation	文檔
documents	牘
doddering	老態龍鍾
dodecagon	十二邊形
dodecahedron	十二面體
dodge	規避
dodger	孱
dog	大阿哥
doggie	小狗
doggystyle	狗交媾般
dogmatic	一意孤行
dogmatism	教條主義
doleful	凄婉
dolerite	輝綠岩
doll	想入非非
dollar	美元
dolly	想入非非
dolomite	白雲石
dolphin	海豚
domain	地盤
dome	圓頂
domeshaped	穹形
domestic	家用
domesticate	馴化
domicile	所在
dominance	統治權
dominant	強攻
dominate	主宰
domination	天下
domineering	霸氣
dominica	多米尼加
dominion	統治權
dominoes	骨牌
don	到案
donate	捐給
donation	捐助
done	熟
donetsk	頓涅茨克
dongfanghong	東方紅
dongguan	東莞市
dongzhimen	東直門
donkey	驢子
donor	戴安娜
dont	杏仁饼
donut	油炸圈餅
doodle	塗抹
doom	禍事
door	大門
doorkeeper	閽
doormat	門墊
doorscreen	闌
doorstep	門階
doorway	出入口
dopamine	多巴胺
dora	機智
dormitory	宿舍
dormouse	睡鼠
dorsal	舌根
dortmund	多特蒙德
dosage	劑量
dose	一服
dot	小點
double	對半
doublebarreled	雙管
doubleclick	雙擊
doubletrack	雙軌
doubling	併紗
doubt	不相信
doubtful	不大可能
dough	生麵糰
doughnut	油炸圈餅
douhua	豆花
dove	白鴿
dovecote	鴿房
dover	多佛
doves	主和派
dowel	銷子
down	在下面
downcast	低落
downfall	沒落
downhearted	心灰意冷
downhill	下坡
download	下載
downpour	豪雨
downright	質樸
downstairs	在樓下
downstream	下水
downtoearth	踏實
downtown	市中心
downward	向下
downwards	下
downwind	迎風
doze	盹
dozen	一打
draft	文稿
draftsman	起造員
drag	慢吞吞
dragnet	罭
dragon	龍
dragonfly	蜻蜓
dragons	小龍
drain	地漏
drainage	放水
drained	枯萎
drainer	流理台
drainpipe	排水管
drama	戲劇
dramatic	戲劇性
drapery	帳帘
draughtsman	起造員
draw	不分勝負
drawback	弊病
drawbridge	吊橋
drawer	開票人
drawers	褲
drawing	畫兒
dread	非常害怕
dreadful	可怕
dream	心願
dreamland	夢境
dreary	厭倦
dredge	打撈
dregs	糟粕
drench	使濕透
drenthe	德倫特
dresden	德累斯頓
dress	女裝
dressing	調味
dressmaker	裁縫
drift	漂遊
drifter	漂泊
drill	軍訓
drilling	鑽探
drink	喝酒
drip	水滴
dripping	裛
drive	開車
drivel	胡說
driver	開車人
drizzle	雨絲
dromedary	單峰駝
drone	寄生蟲
droop	垂
drop	一點點
droplet	點子
dropsical	脹
dropsy	水腫
dross	糟粕
drought	乾旱
droughtresistant	抗旱
drown	使溺死
drowned	沒
drowsy	想睡
drug	服毒
druggist	藥商
drugs	毒品
drugstore	藥房
drum	打鼓
drumbeat	鼓聲
drummer	鼓手
drumstick	小槌
drunk	酒鬼
drunkard	酒鬼
dry	風乾
dryer	烘幹機
dsl	迪士尼
dual	對偶
dualism	二重性
duality	對偶
dualtalented	兩棲
dualuse	兩用
dub	冊封
dubai	杜拜
dubious	不三不四
duchess	公爵夫人
duck	鴨子
duckling	小鴨
duckweed	萍
ductability	延展性
ductable	延展
ductility	延性
due	到期
duel	對抗賽
duke	公爵
dull	不明亮
dullard	阿木林
dumb	沈默寡言
dumbbell	啞鈴
dumbstruck	目睜口呆
dump	倒垃圾
dumpling	餃子
dumpy	矮胖
dun	逼債
dung	糞肥
dunga	鄧加
duodenum	十二指腸
dupe	欺瞞
duplicate	一式兩份
duplication	成雙
dupont	杜邦
durable	有耐久力
duration	長短
during	的時候
durkheim	涂爾干
dusk	黃昏
dusky	昏暗
dust	打掃
duster	笰
dustpan	簸箕
duststorm	霾
dusty	滿身塵埃
dutch	荷蘭
duties	稅
duty	上班
dvd	機床
dwarf	矮人
dwarfish	矬
dwell	居住
dwelling	住處
dye	東帝汶
dyeworks	染廠
dying	不行了
dyke	堤防
dylan	大食懶
dynamic	沖
dynamism	力度
dynamite	爆破
dynamo	發電機
dynasty	王朝
dyne	達因
dysentery	痢疾
dyslexia	閱讀障礙
dysmenorrhea	經痛
dystrophy	營養不良
each	各個
eager	切望
eagerly	切切
eagle	飛鷹
ear	聽力
earache	耳痛
earl	伯爵
earlier	一向
earlobe	朵
early	提前
earlymaturing	早熟
earn	應得
earnest	認真
earnestly	切實
earnings	收益
earphone	聽筒
earphones	耳機
earpiercing	刺耳
earplug	耳塞
earring	耳環
earrings	耳墜子
earsplitting	聒耳
earth	大地
earthling	凡人
earthquake	地震
earthshaking	天翻地覆
earthshattering	石破天驚
earthspirit	祇
earthworm	蚯蚓
earwax	耵聹
earwig	蚰蜒
ease	減輕
easily	大概
east	東方
easter	復活節
eastern	東方
eastwards	向東
eastwest	東西方
easy	不費力
easygoing	隨和
eat	用餐
eaves	屋簷
eavesdrop	偷聽
eavestile	瓦當
ebb	退潮
ebony	烏木
ebullition	沸騰
eccentric	怪人
eccentricity	怪癖
echidna	針鼴
echo	回音
echoed	呼應
echography	超聲波檢查
eclectic	折中
eclecticism	折衷主義
eclipse	日蝕
ecologist	生態學家
ecology	生態
ecommerce	電子商務
economic	有利可圖
economical	經濟
economics	經濟學
economist	經濟學家
economize	節
economy	經濟
ecosphere	生物圈
ecosystem	生態系統
ecs	深鉅
ecstasy	狂喜
ecstatic	心醉神迷
ecuador	厄瓜多爾
eczema	濕疹
ed	法相
eddy	旋渦
edelweiss	醋醬草
edge	邊線
edible	可食
edifice	大廈
edify	啟迪
edinburgh	愛丁堡
edit	校對
edition	發行
editor	主編
editorial	主編
edmonton	埃德蒙頓
educate	教導
educated	羌
education	教學
educational	教育性
educationalist	教育家
educator	教育工作者
edward	愛德華
eel	澳洲
effect	成效
effective	有結果
effectiveness	效用
effectivity	高效能
efficacious	靈驗
efficacy	功力
efficiency	功效
efficient	有能力
effluent	廢水
effort	工夫
effortless	輕快
effuse	流出
egalitarianism	平均主義
egg	活埋
eggplant	矮瓜
